Qwerty Similarity,Top 1%
3,0.919272252
3,0.91981305
3,0.918337012
4,0.919124675
5,0.913405108
5,0.912782332
5,0.910383625
4,0.920685027
4,0.919421262
4,0.913217004
5,0.907618868
5,0.904195076
6,0.909771184
6,0.909766921
3,0.915962621
6,0.90632899
4,0.909772657
3,0.916027216
4,0.906560873
3,0.916636074
3,0.91539004
4,0.909501018
3,0.91537052
4,0.905509352
3,0.914685308
4,0.909719976
4,0.909321338
3,0.915137405
4,0.906239756
3,0.915846467
3,0.914570003
4,0.908745623
4,0.907961373
4,0.908952695
4,0.910669701
6,0.914352633
3,0.921083468
6,0.911171227
4,0.915309555
3,0.92161229
4,0.912353149
3,0.922159808
3,0.920942126
6,0.91675213
3,0.923417204
6,0.913525008
3,0.923827018
4,0.914284001
3,0.924366564
3,0.923104042
5,0.913826611
4,0.921272947
5,0.918864729
5,0.920814992
5,0.912306097
5,0.914900188
7,0.917196489
6,0.913891333
9,0.911386191
7,0.911445758
7,0.913403263
6,0.918736551
6,0.917660442
7,0.913242744
7,0.913661457
7,0.911792315
7,0.921617836
6,0.908430067
6,0.911308021
5,0.916887594
6,0.913573006
6,0.915740085
5,0.919718185
4,0.933311585
4,0.933032855
4,0.923361529
3,0.925209837
4,0.925620533
3,0.926581547
2,0.924568379
3,0.930687996
3,0.930104169
2,0.92926591
5,0.915058221
5,0.917449669
4,0.92187884
4,0.921287581
4,0.920849273
5,0.919569143
5,0.921456681
4,0.927292718
4,0.926747228
4,0.92536652
5,0.926492044
5,0.926871085
4,0.930598143
4,0.929547164
5,0.92489984
4,0.937767933
4,0.913214683
4,0.917524848
3,0.920122553
3,0.919473748
4,0.917436621
4,0.920785182
3,0.924999275
3,0.92405517
3,0.923466631
4,0.923133541
3,0.925313184
3,0.920844002
3,0.92445855
3,0.921208619
3,0.923276871
2,0.924834289
3,0.918229676
3,0.924517288
2,0.923524809
3,0.919290685
2,0.923953318
3,0.923815403
4,0.925721096
3,0.930683528
3,0.929868135
3,0.925601621
3,0.92845322
3,0.92600968
3,0.927232272
2,0.929968791
3,0.928398676
2,0.928670297
3,0.923989853
3,0.927832541
2,0.916328371
1,0.915959263
1,0.91529417
2,0.911204869
2,0.911180831
1,0.916309182
2,0.920732207
2,0.921443149
2,0.920733128
1,0.920670977
1,0.919996909
2,0.915520404
1,0.92018297
1,0.919800937
3,0.908957585
3,0.914328366
3,0.915053849
4,0.918641658
3,0.920238291
4,0.913334465
3,0.918914064
4,0.90994011
3,0.919569693
3,0.918407293
4,0.916071518
4,0.914921118
3,0.92536324
3,0.92693846
4,0.918957205
3,0.926706289
3,0.927237253
3,0.926007631
2,0.908342237
2,0.908637246
2,0.90839983
2,0.908973945
2,0.907748118
2,0.913665947
2,0.914000051
2,0.913745569
2,0.914333435
2,0.913083802
2,0.915295758
2,0.907998494
1,0.913631765
1,0.914198334
1,0.912959682
2,0.907826311
2,0.907792065
1,0.914207279
2,0.904308374
1,0.91489259
1,0.911297876
1,0.913637968
2,0.910475087
1,0.913949834
2,0.907422717
2,0.909842298
2,0.906631281
1,0.914302487
2,0.90766957
2,0.90933702
1,0.912651487
2,0.917704562
2,0.919220979
2,0.918991829
2,0.91952818
2,0.918288231
1,0.917819363
1,0.918327111
1,0.917151718
2,0.911694446
1,0.91769227
1,0.918351781
1,0.917158651
2,0.914395728
1,0.918782224
2,0.913756581
1,0.919076209
2,0.913158459
1,0.917485458
4,0.909663017
3,0.915022871
3,0.915669023
3,0.914566993
3,0.920855515
