Qwerty Similarity,Error Rate
7,0.061843779
8,0.051684605
10,0.044876868
10,0.04461484
7,0.052296709
7,0.052006856
7,0.047599083
7,0.047347392
7,0.047790133
7,0.0474819
9,0.048260677
9,0.048347657
9,0.048258187
7,0.046717455
7,0.046584697
7,0.051153842
6,0.051848299
7,0.045935167
7,0.04569396
7,0.045790781
9,0.045581928
6,0.052415453
9,0.04420991
9,0.044029544
9,0.04406636
7,0.045053996
7,0.044835461
7,0.044909341
9,0.044714966
9,0.044572101
5,0.061420351
4,0.063737161
6,0.050940744
6,0.050546398
5,0.060289875
5,0.060412847
5,0.060032101
6,0.049961332
6,0.049589657
5,0.051940168
5,0.051616999
4,0.061672559
4,0.061801135
5,0.053394832
5,0.053043977
5,0.053119851
5,0.052769395
4,0.063069631
5,0.053005837
5,0.052867486
5,0.053129209
5,0.052777818
5,0.05239553
5,0.052087608
4,0.062192607
5,0.052228938
4,0.052155401
4,0.058850214
4,0.058847762
3,0.054717161
3,0.061978329
3,0.061730283
3,0.061722476
4,0.051001948
5,0.050809174
5,0.050511736
5,0.050664802
4,0.057699521
4,0.057697031
4,0.050732762
5,0.049926598
5,0.049781957
6,0.045356731
6,0.045129607
3,0.052702547
6,0.045214525
4,0.051968464
3,0.059503341
4,0.051823889
3,0.059242071
3,0.059244983
4,0.051144328
3,0.059264233
4,0.05100092
3,0.059005615
4,0.046289042
4,0.04602375
3,0.05381549
4,0.046145731
3,0.053553311
3,0.053556618
4,0.052580086
4,0.052815773
4,0.05254644
4,0.052699171
6,0.045828695
3,0.053242915
6,0.045687175
4,0.052602902
3,0.060202392
4,0.052459012
3,0.059941194
3,0.059944051
6,0.046286832
3,0.053569721
6,0.046143733
3,0.060523721
4,0.052832511
3,0.060275286
3,0.060267332
5,0.072580517
4,0.072257433
5,0.057965636
5,0.057192621
5,0.056545923
5,0.05581384
7,0.055695875
6,0.053975868
9,0.053608302
7,0.054295077
7,0.053585027
6,0.063856231
6,0.063946364
7,0.062119774
7,0.061821521
7,0.061828328
7,0.0527871
6,0.054337262
6,0.05360034
5,0.064351663
6,0.056337516
6,0.055544052
5,0.066396336
4,0.071492448
4,0.071586037
4,0.059144508
3,0.070726278
4,0.06066317
3,0.061208475
2,0.072791698
3,0.072776623
3,0.063207403
2,0.074793421
5,0.059361055
5,0.058579528
4,0.068997705
4,0.069088383
4,0.068320457
5,0.059659495
5,0.058893215
4,0.06936083
4,0.069450768
4,0.068698089
5,0.059536667
5,0.059239111
4,0.069732667
4,0.069824874
5,0.059246078
4,0.068468392
4,0.059416444
4,0.058608044
3,0.069506339
3,0.069601522
4,0.059670563
4,0.05887741
3,0.069825144
3,0.069919587
3,0.069140035
4,0.060319451
3,0.071193078
3,0.06189772
3,0.061174932
3,0.061591836
3,0.060869447
2,0.071924723
3,0.06151392
3,0.060934504
2,0.072021636
3,0.061604259
2,0.071312449
3,0.060880934
4,0.060827943
3,0.071791233
3,0.071876443
3,0.063856173
3,0.063076843
3,0.063563051
3,0.06278412
2,0.073842191
3,0.062839944
2,0.073929871
3,0.063564663
3,0.062784796
2,0.060989926
1,0.068840371
1,0.068590518
2,0.054709181
2,0.054018448
1,0.062811212
2,0.063219424
2,0.070837039
2,0.070589328
1,0.071040138
1,0.070792236
2,0.056943804
1,0.064994039
1,0.07227357
3,0.059099654
3,0.059483099
3,0.067046801
4,0.057552925
3,0.058294195
4,0.051573548
3,0.059643771
4,0.051465585
3,0.059359018
3,0.059359933
4,0.058870164
4,0.058849685
3,0.058683945
3,0.066275241
4,0.058391131
3,0.066534396
3,0.066250624
3,0.066251089
2,0.059633632
2,0.067066993
2,0.067333519
2,0.067040944
2,0.067047235
2,0.059972756
2,0.067564868
2,0.067831326
2,0.067538824
2,0.06754506
2,0.061563785
2,0.05954609
1,0.068049102
1,0.067756472
1,0.067762645
2,0.054171223
2,0.053533998
1,0.062080779
2,0.054064011
1,0.061787696
1,0.061288103
1,0.061794068
2,0.061466311
1,0.069334929
2,0.061357649
2,0.061740409
2,0.06163051
1,0.069308627
2,0.061330275
2,0.061449972
1,0.069314553
2,0.062108765
2,0.069700924
2,0.069961859
2,0.069682119
2,0.069677544
1,0.07015538
1,0.069875513
1,0.069870874
2,0.056312358
1,0.064168166
1,0.063887846
1,0.063883407
2,0.063607493
1,0.071422363
2,0.063876067
1,0.071403301
2,0.063587581
1,0.071398415
4,0.050468418
3,0.058183977
3,0.057897662
3,0.057898539
3,0.057161342
